source_file,authors,year,title,venue,doi
14.txt,,2022,Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,,
14.txt,"Takeo Igarashi, Ariel Shamir, and Hao (Richard) Zhang (Eds.)",2024,SIGGRAPH Asia 2024 Conference Papers,"Association for Computing Machinery, New York, NY, USA",
14.txt,,2026,Proceedings of the 2026 3rd International Conference on Informatics Education and Computer Technology Applications,,
14.txt,"Luis Gozanga Magalhães, Jorge Posada, Miguel Guevara, Augusto Sousa, and Traian Lavric (Eds.)",2024,Proceedings of the 29th International ACM Conference on 3D Web Technology,"Association for Computing Machinery, New York, NY, USA",
14.txt,,2025,Proceedings of the 2025 International Conference on Smart City and Sustainable Development,,
14.txt,,2024,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering,,
14.txt,,2025,Proceedings of the 2025 3rd International Conference on Mathematics and Machine Learning,,
14.txt,,2025,Proceedings of the 2025 International Conference on Multimedia Retrieval,,
14.txt,,2023,Proceedings of the 56th Annual IEEE/ACM International Symposium on Microarchitecture,,
14.txt,"Taku Komura, Michael Wimmer, and Hongbo Fu (Eds.)",2025,Proceedings of the SIGGRAPH Asia 2025 Conference Papers,"Association for Computing Machinery, New York, NY, USA",
15.txt,"Keping Bi, Qingyao Ai, and W. Bruce Croft",2021,Learning a Fine-Grained Review-based Transformer Model for Personalized Product Search,Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR '21),https://doi.org/10.1145/3404835.3462911
15.txt,"Meng Yang, Chuanrui Cui, Yanan Li, Ning Chen, and Pengpeng Zhang",2026,Industrial-Scale Data Processing and LLM Evaluation for Coal Mine Safety,Proceedings of the 2025 11th International Conference on Communication and Information Processing (ICCIP '25),https://doi.org/10.1145/3784833.3784879
15.txt,"Pratibha Raghupati Hegde, Oleksandr Kyriienko, Hermanni Heimonen, Panagiotis Tolias, Gilbert Netzer, Panagiotis Barkoutsos, Ricardo Vinuesa, Ivy Peng, and Stefano Markidis",2024,Beyond the Buzz: Strategic Paths for Enabling Useful NISQ Applications,Proceedings of the 21st ACM International Conference on Computing Frontiers (CF '24),https://doi.org/10.1145/3649153.3649182
15.txt,Julian Knodt,2025,Single Edge Collapse Quad-Dominant Mesh Reduction,ACM Trans. Graph.,https://doi.org/10.1145/3731143
15.txt,"Hsueh-Ti Derek Liu, Mark Gillespie, Benjamin Chislett, Nicholas Sharp, Alec Jacobson, and Keenan Crane",2023,Surface Simplification using Intrinsic Error Metrics,ACM Trans. Graph.,https://doi.org/10.1145/3592403
